Line Item,Line Name,Line Category ACC,Line Category RBHA,Line Category ALTCS,Revenue Expense Indicator
60105-10,Other Professional,Treatment Services,Treatment Services,Treatment Services,Expense
60205-01,Living Skills Training,Rehabilitation Services,Rehabilitation Services,Rehabilitation Services,Expense
60205-05,Cognitive Rehabilitation,Rehabilitation Services,Rehabilitation Services,Rehabilitation Services,Expense
60205-10,Health Promotion,Rehabilitation Services,Rehabilitation Services,Rehabilitation Services,Expense
60205-15,Supported Employment Services,Rehabilitation Services,Rehabilitation Services,Rehabilitation Services,Expense
60305-01,Medication Services,Medical Services,Medical Services,Medical Services,Expense
60305-05,Medical Management,Medical Services,Medical Services,Medical Services,Expense
60305-10,"Laboratory, Radiology and Medical Imaging",Medical Services,Medical Services,Medical Services,Expense
60305-15,Electro-Convulsive Therapy,Medical Services,Medical Services,Medical Services,Expense
60405-01,Case Management,Support Services,Support Services,Support Services,Expense
60405-05,Personal Care Services,Support Services,Support Services,Support Services,Expense
60405-10,Family Support,Support Services,Support Services,Support Services,Expense
60405-15,Peer Support,Support Services,Support Services,Support Services,Expense
60405-20,Therapeutic Foster Care,Support Services,Support Services,Support Services,Expense
60405-21,Adult Behavioral Health Therapeutic Home,Support Services,Support Services,Support Services,Expense
60405-25,Unskilled Respite Care,Support Services,Support Services,Support Services,Expense
60405-30,Supported Housing*,Support Services,Support Services,Support Services,Expense
60405-35,Reserved for Future Use,Support Services,Support Services,Support Services,Expense
60405-40,Transportation,Support Services,Support Services,Support Services,Expense
60505-01,Crisis Intervention - Mobile,Crisis Intervention Services,Crisis Intervention Services,Crisis Intervention Services,Expense
60505-05,Crisis Intervention - Stabilization,Crisis Intervention Services,Crisis Intervention Services,Crisis Intervention Services,Expense
60505-10,Crisis Intervention - Telephone,Crisis Intervention Services,Crisis Intervention Services,Crisis Intervention Services,Expense
60605-01,Hospital,Inpatient Services,Inpatient Services,Inpatient Services,Expense
60605-05,Sub acute Facility,Inpatient Services,Inpatient Services,Inpatient Services,Expense
60605-10,Residential Treatment Center (RTC),Inpatient Services,Inpatient Services,Inpatient Services,Expense
60605-15,"Inpatient Services, Professional",Inpatient Services,Inpatient Services,Inpatient Services,Expense
60705-01,Behavioral Health Residential Facilities,Residential Services,Residential Services,Residential Services,Expense
60705-05,Reserved for Future Use,Residential Services,Residential Services,Residential Services,Expense
60705-10,Room and Board,Residential Services,Residential Services,Residential Services,Expense
60805-01,Supervised Day Program,Behavioral Health Day Program,Behavioral Health Day Program,Behavioral Health Day Program,Expense
60805-05,Therapeutic Day Program,Behavioral Health Day Program,Behavioral Health Day Program,Behavioral Health Day Program,Expense
60805-10,Medical Day Program,Behavioral Health Day Program,Behavioral Health Day Program,Behavioral Health Day Program,Expense
60905-01,Reserved for Future Use,HIV Services,HIV Services,HIV Services,Expense
60905-05,HIV,HIV Services,HIV Services,HIV Services,Expense
61005-01,BH Pharmacy Expense,BH Pharmacy Expenses,BH Pharmacy Expenses,BH Pharmacy Expenses,Expense
61100-01,PPC BH Title XIX,BH Medical Expenses,BH Medical Expenses,BH Medical Expenses,Expense
61105-01,Other Service Expenses Not Reported Above*,BH Medical Expenses,BH Medical Expenses,BH Medical Expenses,Expense
61205-01,BH FQHC/RHC Services,BH Medical Expenses,BH Medical Expenses,BH Medical Expenses,Expense
61305-01,Specialty and Other Grant Expenses*,BH Medical Expenses,BH Medical Expenses,BH Medical Expenses,Expense
70105-01,Reinsurance,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
70205-02,Third Party Liability,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
70305-01,Claim Overpayment Recoveries,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
70310-05,PH Pharmacy Rebate,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
70310-10,Pharmacy Performance Guarantees,Other Medical Expenses,Other Medical Expenses,Other Medical Expenses,Expense
80105-01,Compensation,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
80205-01,Occupancy,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
80305-01,Depreciation,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
80405-01,Care Management/Care Coordination,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
80505-01,Professional and Outside Services,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
80605-01,Office Supplies and Equipment,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
80705-01,Travel,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
80805-01,Repair and Maintenance,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
80905-01,Bank Service Charge,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
81005-01,Insurance,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
81105-01,Marketing,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
81205-01,Interest Expense ,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
81305-01,Pharmacy Benefit Manager Expenses,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
81405-01,Fraud Reduction Expenses,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
81505-01,Third Party Activities,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
81605-01,Sub Capitation Block Administration,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
81705-01,Health Care Quality Improvement,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
82505-01,Interpretation/Translation Services,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
83005-01,Other Administrative Expenses,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
83105-01,Non-Title XIX/XXI Encounter Valuation Sanctions*,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
83205-01,Admin Expenses from Specialty and Other Grants*,Administrative Expenses,Administrative Expenses,Administrative Expenses,Expense
88999-01,Profit (Loss) from Non-Operating,Taxes and Fees,Taxes and Fees,Taxes and Fees,Expense
90105-01,Income taxes,Taxes and Fees,Taxes and Fees,Taxes and Fees,Expense
90205-01,Premium taxes,Taxes and Fees,Taxes and Fees,Taxes and Fees,Expense
90305-01,Health Insurance Providers Fee,Taxes and Fees,Taxes and Fees,Taxes and Fees,Expense
990105-01,Community Reinvestment,Taxes and Fees,Taxes and Fees,Taxes and Fees,Expense
990205-01,Non Covered Services,Taxes and Fees,Taxes and Fees,Taxes and Fees,Expense
990305-01,Unreimbursed Performance Based Payments,Taxes and Fees,Taxes and Fees,Taxes and Fees,Expense
